Record,Ticket,Tienda,Fecha,Hora,Artículo,Cantidad,Precio Unit,Venta total
4922,1513880, Marsella ,10/01/2022,01:33:00 p. m.,Galette 8 Pers, 10 , $ 16.0 , $ 160 
5991,1516920, Lyon ,14/01/2022,11:14:00 a. m.,Divers Patisserie, 10 , $ 24.0 , $ 240 
9795,1527670, Lyon ,22/01/2022,12:04:00 p. m.,Galette 8 Pers, 10 , $ 16.0 , $ 160 
26915,1574010, Marsella ,23/02/2022,01:43:00 p. m.,Royal 6P, 10 , $ 18.0 , $ 180 
29084,1579750, Marsella ,27/02/2022,10:41:00 a. m.,Divers Viennoiserie, 10 , $ 44.0 , $ 440 
39236,1606910, Lyon ,12/03/2022,10:27:00 a. m.,Divers Viennoiserie,10, $ 22.0 , $ 220 
45021,1622550, Lyon ,20/03/2022,01:37:00 p. m.,Royal 6P,10, $ 18.0 , $ 180 
45401,1623560, Lyon ,21/03/2022,10:22:00 a. m.,Divers Patisserie,10, $ 14.0 , $ 140 
49617,1635070, Lyon ,28/03/2022,09:31:00 a. m.,Tarte Fraise 6P,10, $ 18.0 , $ 180 
54333,1648030, Marsella ,04/04/2022,08:54:00 a. m.,Tarte Fraise 6P,10, $ 18.0 , $ 180 
54423,1648230, Lyon ,04/04/2022,09:13:00 a. m.,Tarte Fraise 6P,10, $ 18.0 , $ 180 
64370,1675370, Marsella ,17/04/2022,08:50:00 a. m.,Divers Viennoiserie,10, $ 22.0 , $ 220 
70791,1692920, Marsella ,24/04/2022,10:45:00 a. m.,Divers Viennoiserie,10, $ 22.0 , $ 220 
93668,1754080, Marsella ,22/05/2022,04:43:00 p. m.,Divers Viennoiserie,10, $ 22.0 , $ 220 
213709,2076290, Marsella ,08/09/2022,11:25:00 a. m.,Traiteur,10, $ 24.0 , $ 240 
213824,2076610, Marsella ,08/09/2022,12:09:00 p. m.,Traiteur,10, $ 21.0 , $ 210 
215472,2081250, Lyon ,10/09/2022,01:07:00 p. m.,Traiteur,10, $ 35.0 , $ 350 
215471,2081250, Marsella ,10/09/2022,01:07:00 p. m.,Traiteur,10, $ 22.5 , $ 225 
230306,2122180, Marsella ,01/10/2022,01:09:00 p. m.,Traiteur,10, $ 21.0 , $ 210 
238895,2145750, Lyon ,15/10/2022,10:52:00 a. m.,Traiteur,10, $ 28.0 , $ 280 
242151,2154750, Lyon ,20/10/2022,12:14:00 p. m.,Traiteur,10, $ 18.0 , $ 180 
258423,2198690, Lyon ,09/11/2022,07:03:00 p. m.,Traiteur,10, $ 21.0 , $ 210 
259780,2202380, Lyon ,12/11/2022,08:50:00 a. m.,Divers Patisserie,10, $ 24.0 , $ 240 
265187,2217290, Lyon ,22/11/2022,12:07:00 p. m.,Traiteur,10, $ 21.0 , $ 210 
267094,2222670, Lyon ,27/11/2022,11:05:00 a. m.,Divers Patisserie,10, $ 24.0 , $ 240 
269095,2228040, Marsella ,30/11/2022,06:11:00 p. m.,Traiteur,10, $ 16.6 , $ 166 
279405,2256700, Lyon ,24/12/2022,09:28:00 a. m.,Buche 6Pers,10, $ 21.0 , $ 210 
280064,2258200, Marsella ,24/12/2022,12:11:00 p. m.,Buche 6Pers,10, $ 21.0 , $ 210 
280192,2258480, Marsella ,24/12/2022,04:00:00 p. m.,Divers Boulangerie,10, $ 21.0 , $ 210 
280277,2258680, Lyon ,24/12/2022,04:30:00 p. m.,Buche 6Pers,10, $ 21.0 , $ 210 
280373,2258900, Marsella ,24/12/2022,05:24:00 p. m.,Buche 6Pers,10, $ 21.0 , $ 210 
280598,2259370, Marsella ,25/12/2022,09:51:00 a. m.,Buche 6Pers,10, $ 21.0 , $ 210 
421,1501470, Marsella ,02/01/2022,12:19:00 p. m.,Gal Frangipane 4P, 20 , $ 8.0 , $ 160 
